Judul,Sutradara,Genre,Produksi,Distributor,Penonton,Klasifikasi usia,Date,Rating
Alena Anak Ratu Iblis,Sonu Samtani,Horor,Arjuna Mega Films,Bioskop,86769.0,13+,2023-01-05,3.2
Puisi Cinta yang Membunuh,Garin Nugroho,Horor,Starvision Plus,Bioskop,52086.0,17+,2023-01-05,4.9
Hidayah,Monty Tiwa,Horor,Pichouse Films,Bioskop,333982.0,13+,2023-01-12,5.5
Anak Titipan Setan,Erwin Arnada,Horor,Produksi Film Negara,Bioskop,84166.0,17+,2023-01-12,5.2
The Day Before the Wedding,Razka Robby Ertanto,Drama,KlikFilm Productions,KlikFilm,,17+,2023-01-13,5.3
Layar,Ifa Isfansyah,Drama,KlikFilm Productions,KlikFilm,,13+,2023-01-13,9.0
Bayi Ajaib,Rako Prijanto,Horor,Falcon Black,Bioskop,434228.0,17+,2023-01-19,5.1
Balada Si Roy,Fajar Nugros,Drama,IDN Pictures,Bioskop,123564.0,13+,2023-01-19,7.2
Autobiography,Makbul Mubarak,Drama,KawanKawan Media,Bioskop,33407.0,17+,2023-01-19,7.3
Scandal Makers,Jeihan Angga,Drama,MD Pictures,Prime Video,,13+,2023-01-19,7.7
Mangkujiwo 2,Azhar Kinoi Lubis,Horor,MVP Pictures,Bioskop,555934.0,17+,2023-01-26,6.9
Adagium,Rizal Mantovani,Drama,Brainstorminc,Bioskop,41645.0,13+,2023-01-26,
"Jalan yang Jauh, Jangan Lupa Pulang",Angga Dwimas Sasongko,Drama,Visinema Pictures,Bioskop,866367.0,13+,2023-02-02,6.6
Tanpa Ampun,M. Yusuf,Laga,Triple A Films,Bioskop,20492.0,17+,2023-02-02,5.1
Tasbih Kosong,Arie Achmad Buang,Horor,786 Production,Bioskop,92477.0,13+,2023-02-02,7.5
Waktu Maghrib,Sidharta Tata,Horor,Rapi Films,Bioskop,2409112.0,17+,2023-02-09,6.0
Gita Cinta dari SMA,Monty Tiwa,Drama,Starvision Plus,Bioskop,75065.0,13+,2023-02-09,8.2
Dear David,Lucky Kuswandi,Drama,Palari Films,Netflix,,17+,2023-02-09,3.9
Cherish & Ruelle,Azhar Kinoi Lubis,Drama,KlikFilm Productions,KlikFilm,,17+,2023-02-10,6.6
Para Betina Pengikut Iblis,Rako Prijanto,Horor,Falcon Black,Bioskop,214585.0,21+,2023-02-16,4.2
Berbalas Kejam,Teddy Soeriaatmadja,Drama,Tiger Wong Entertainment,Prime Video,,17+,2023-02-16,6.4
Bismillah Kunikahi Suamimu,Benni Setiawan,Drama,MD Pictures,Bioskop,273231.0,13+,2023-02-23,5.3
Pesugihan: Bersekutu dengan Iblis,Hanny R. Saputra,Horor,Virgo Putra Film,Bioskop,248012.0,17+,2023-02-23,5.5
Kiko in the Deep Sea,"Sally Wongso, Heri Kurniawan, Dezi Ruwah Rezeki",Animasi,MNC Animation,Bioskop,28894.0,SU,2023-02-23,8.0
Panduan Mempersiapkan Perpisahan,Adriyanto Dewo,Drama,Relate Films,Bioskop Online,,17+,2023-02-24,6.6
Virgo and the Sparklings,Ody C. Harahap,Laga,Screenplay Bumilangit,Bioskop,67101.0,SU,2023-03-02,5.7
Kembang Api,Herwin Novianto,Drama,Falcon Pictures,Bioskop,35102.0,17+,2023-03-02,7.0
Perjanjian Gaib,Hadrah Daeng Ratu,Horor,Maxima Pictures,Bioskop,352740.0,17+,2023-03-09,5.7
Kun Ana Wa Anta,Rully Manna,Drama,DNA Productions,Bioskop,7006.0,SU,2023-03-09,4.4
"Glo, Kau Cahaya",Ani Ema Susanti,Drama,Bhuana Art Sinema,Bioskop,3100.0,SU,2023-03-09,
Zodiac: Apa Bintangmu?,Dinna Jasanti,Drama,Renee Pictures,Prime Video,,SU,2023-03-09,8.5
Iblis dalam Darah,Yannie Sukarya,Horor,Helroad Films,Bioskop,227168.0,13+,2023-03-16,7.7
Losmen Melati,"Mike Wiluan, Billy Christian",Horor,Infinite Studios,Bioskop,150240.0,17+,2023-03-16,5.6
Sukmailang,Rizqon Agustia Fahsa,Horor,Genia Visinema,Bioskop,,13+,2023-03-16,
Hantu Baru,Adink Liwutang,Horor,Keene Entertainment,Bioskop,14957.0,13+,2023-03-23,9.0
